"Table with row headers in column A, and column headers in rows 5 through 6.",,,,,,,,,
STATE,Age,Total population,Total citizen population,Total registered,"Percent registered
(Total)","Percent registered
(Citizen)",Total voted,"Percent voted
(Total)","Percent voted
(Citizen)"
SOUTH DAKOTA,65+,152,152,116,76.5,76.5,106,69.5,69.5
TENNESSEE,Total,"5,283","5,038","3,742",70.8,74.3,"3,346",63.3,66.4
TENNESSEE,18 to 24,641,611,372,58.1,60.9,300,46.9,49.1
TENNESSEE,25 to 34,818,761,521,63.7,68.5,428,52.3,56.3
TENNESSEE,35 to 44,911,829,618,67.9,74.5,549,60.3,66.3
TENNESSEE,45 to 64,"1,765","1,699","1,340",75.9,78.9,"1,247",70.6,73.4
TENNESSEE,65+,"1,148","1,138",891,77.6,78.2,822,71.6,72.2
TEXAS,Total,"21,485","18,581","13,343",62.1,71.8,"11,874",55.3,63.9
TEXAS,18 to 24,"2,617","2,366","1,311",50.1,55.4,"1,024",39.1,43.3
TEXAS,25 to 34,"4,189","3,491","2,275",54.3,65.2,"1,912",45.6,54.8
TEXAS,35 to 44,"3,989","3,124","2,249",56.4,72.0,"1,983",49.7,63.5
TEXAS,45 to 64,"6,827","5,988","4,585",67.2,76.6,"4,201",61.5,70.2
TEXAS,65+,"3,862","3,613","2,923",75.7,80.9,"2,755",71.3,76.3
UTAH,Total,"2,320","2,178","1,468",63.3,67.4,"1,386",59.7,63.6
UTAH,18 to 24,425,401,225,52.9,56.2,201,47.3,50.1
UTAH,25 to 34,459,416,273,59.4,65.5,247,53.8,59.3
UTAH,35 to 44,407,382,252,61.9,66.0,236,57.9,61.8
UTAH,45 to 64,661,622,444,67.1,71.3,432,65.4,69.5
UTAH,65+,367,357,274,74.6,76.9,269,73.3,75.6
VERMONT,Total,507,500,365,72.0,73.0,342,67.5,68.4
VERMONT,18 to 24,54,53,29,B,B,26,B,B
VERMONT,25 to 34,81,81,51,62.6,63.1,43,52.3,52.8
VERMONT,35 to 44,76,72,54,B,B,49,B,B
VERMONT,45 to 64,155,154,117,75.6,76.1,113,72.8,73.4
VERMONT,65+,140,140,114,81.3,81.8,111,79.2,79.6
VIRGINIA,Total,"6,481","5,974","4,541",70.1,76.0,"4,275",66.0,71.5
VIRGINIA,18 to 24,730,668,405,55.5,60.6,346,47.4,51.8
VIRGINIA,25 to 34,"1,112",956,726,65.3,75.9,666,59.9,69.7
